Version,Metric,Value,Usecase
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,355.1097789359101,APPLNCH03A
1-FC - M523_AU298+M609_AU328-8(Blue),CX,29.324078629730078,APPLNCH03A
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,2.8840158756862664,APPLNCH03A
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,256.0842476759821,APPLNCH03A
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,27.601781231503235,APPLNCH03A
2-PreCS1 - M619_r2(Orange),Adjusted,414.25770174039894,APPLNCH03A
2-PreCS1 - M619_r2(Orange),CX,32.663379092010175,APPLNCH03A
2-PreCS1 - M619_r2(Orange),GFX,2.725367756219116,APPLNCH03A
2-PreCS1 - M619_r2(Orange),Total CPU,307.40068335322013,APPLNCH03A
2-PreCS1 - M619_r2(Orange),Total Memory,27.832135112292743,APPLNCH03A
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,413.42829823433283,APPLNCH03A
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,31.446452719605762,APPLNCH03A
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,2.1442286062145794,APPLNCH03A
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,311.4148459410114,APPLNCH03A
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,25.656832768428742,APPLNCH03A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,414.1,APPLNCH03A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,31.391726926462884,APPLNCH03A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,3.9136452363984806,APPLNCH03A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,309.35642182224103,APPLNCH03A
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,28.508176155686076,APPLNCH03A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,402.6350369956175,APPLNCH03A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,29.855914994826758,APPLNCH03A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,4.569944374731749,APPLNCH03A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,304.219650384443,APPLNCH03A
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,25.786388335613648,APPLNCH03A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,335.6312498440359,APPLNCH03A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,27.51474528121769,APPLNCH03A
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,2.9005960501089834,APPLNCH03A
