Usecase,Mean,Standard_Deviation,Variance
DOUYIN02-5G,351.983,57.0753,3257.5928
APPLNCH03A,376.7193,45.7945,2097.1363
WB01-5G,221.0606,25.8368,667.5401
QQS01-5G,385.5568,23.4688,550.7863
DOUYIN01W,157.4222,22.8452,521.9023
VIWCHT01W,259.895,16.921,286.3216
GP01W,306.3599,16.5736,274.6834
WCHT02W,121.7881,15.9863,255.563
VS12W,147.7555,15.7737,248.8092
PMWCHT02W,168.3788,15.2911,233.8167
TNEWS01W,134.944,11.8873,141.3085
HOK01,180.4178,9.2289,85.1735
VOWCHT01-5G,143.0433,7.9936,63.8974
AU45A,44.3707,4.0953,16.7716
RMSG01-5G,32.4826,3.7615,14.149
